Entity,Code,Year,Laboratory (%),Surveillance (%),Chemical events (%),Zoonotic events (%),Points of entry (%),Risk communication (%),Radiation emergencies (%),Legislation and Financing (%),National Health Emergency Framework (%),Zoonotic events and the human–animal interface (%),IHR Coordination and National IHR Focal Point Functions (%),Coordination and National Focal Point communications (%),"National legislation, policy and financing (%)",Health Service Provision (%),Radionuclear emergencies (%),Risk Communication (%),Chemical events (%),Human resources (%),Food safety (%)
Afghanistan,AFG,2010,45,96,7,69,,80,,,,,,75,50,,6,,,,
Afghanistan,AFG,2011,40,80,0,44,,43,,,,,,20,0,,0,,,,
Afghanistan,AFG,2012,26,80,0,56,,43,,,,,,36,0,,0,,,,
Afghanistan,AFG,2013,45,75,0,67,,57,,,,,,46,0,,62,,,,
Afghanistan,AFG,2014,53,90,23,67,,71,,,,,,63,50,,38,,,,
Afghanistan,AFG,2015,69,75,23,67,,71,,,,,,36,0,,54,,,,
Afghanistan,AFG,2016,76,95,31,33,,57,,,,,,30,0,,54,,,,
Afghanistan,AFG,2017,37,70,15,89,,29,,,,,,37,50,,38,,,,
Afghanistan,AFG,2018,,,,,10,,20,13,27,80,60,,,40,,20,0,40,20
Albania,ALB,2017,63,60,23,67,,57,,,,,,57,75,,62,,,,
Algeria,DZA,2010,35,64,14,76,,30,,,,,,56,50,,86,,,,
Algeria,DZA,2011,60,0,0,0,,14,,,,,,20,0,,0,,,,
Algeria,DZA,2012,4,35,31,56,,14,,,,,,53,0,,0,,,,
Algeria,DZA,2013,36,75,15,56,,29,,,,,,53,50,,0,,,,
Algeria,DZA,2014,76,85,15,89,,29,,,,,,100,100,,69,,,,
Algeria,DZA,2015,76,85,15,89,,29,,,,,,100,100,,69,,,,
Algeria,DZA,2016,58,55,100,89,,29,,,,,,90,100,,77,,,,
Algeria,DZA,2017,62,80,54,89,,43,,,,,,90,100,,77,,,,
Algeria,DZA,2018,,,,,60,,100,100,53,80,90,,,93,,60,100,80,80
Andorra,AND,2010,35,68,7,46,,70,,,,,,65,50,,0,,,,
Andorra,AND,2011,30,65,0,33,,14,,,,,,30,75,,0,,,,
Andorra,AND,2012,25,65,0,44,,14,,,,,,30,75,,0,,,,
Andorra,AND,2013,25,70,0,0,,14,,,,,,30,75,,0,,,,
Andorra,AND,2014,25,70,0,44,,14,,,,,,30,75,,0,,,,
Andorra,AND,2015,25,70,0,44,,14,,,,,,30,75,,0,,,,
Andorra,AND,2016,25,70,,44,,14,,,,,,30,75,,,,,,
Andorra,AND,2017,25,70,0,44,,14,,,,,,30,75,,0,,,,
Andorra,AND,2018,,,,,20,,0,47,0,60,50,,,53,,60,0,20,80
Angola,AGO,2011,100,50,0,67,,57,,,,,,73,0,,0,,,,
Angola,AGO,2013,57,60,15,33,,29,,,,,,73,50,,17,,,,
Angola,AGO,2014,0,25,0,0,,14,,,,,,73,50,,0,,,,
Angola,AGO,2017,100,95,8,100,,100,,,,,,100,100,,31,,,,
Angola,AGO,2018,,,,,40,,60,47,60,80,80,,,47,,80,40,60,20
Antigua and Barbuda,ATG,2010,53,60,50,76,,90,,,,,,91,50,,13,,,,
Antigua and Barbuda,ATG,2011,40,80,33,78,,57,,,,,,53,50,,8,,,,
Antigua and Barbuda,ATG,2012,66,95,62,89,,43,,,,,,66,100,,29,,,,
Antigua and Barbuda,ATG,2013,45,95,85,100,,57,,,,,,66,100,,23,,,,
Antigua and Barbuda,ATG,2014,81,100,85,100,,71,,,,,,100,100,,23,,,,
Antigua and Barbuda,ATG,2015,100,100,85,100,,86,,,,,,100,100,,23,,,,
Antigua and Barbuda,ATG,2016,68,85,69,89,,86,,,,,,73,100,,23,,,,
Antigua and Barbuda,ATG,2017,88,90,46,89,,71,,,,,,40,75,,23,,,,
Antigua and Barbuda,ATG,2018,,,,,20,,40,27,60,20,30,,,40,,40,20,60,80
Argentina,ARG,2011,90,80,50,100,,57,,,,,,73,100,,8,,,,
Argentina,ARG,2012,73,80,69,67,,86,,,,,,73,50,,86,,,,
Argentina,ARG,2013,90,80,69,100,,86,,,,,,73,50,,62,,,,
Argentina,ARG,2014,90,80,69,100,,86,,,,,,73,50,,62,,,,
Argentina,ARG,2015,90,80,69,100,,86,,,,,,73,50,,62,,,,
Argentina,ARG,2016,86,80,69,89,,86,,,,,,67,50,,77,,,,
Argentina,ARG,2017,96,80,85,78,,57,,,,,,57,50,,77,,,,
Argentina,ARG,2018,,,,,70,,60,80,40,60,80,,,60,,40,60,60,80
Armenia,ARM,2010,80,92,85,92,,80,,,,,,66,50,,100,,,,
Armenia,ARM,2011,40,95,92,100,,57,,,,,,90,75,,92,,,,
Armenia,ARM,2012,75,85,92,100,,86,,,,,,90,75,,93,,,,
Armenia,ARM,2013,79,85,92,100,,100,,,,,,100,75,,100,,,,
Armenia,ARM,2014,96,85,85,100,,100,,,,,,100,100,,92,,,,
Armenia,ARM,2015,100,90,92,100,,100,,,,,,100,100,,92,,,,
Armenia,ARM,2017,100,90,92,100,,100,,,,,,100,100,,92,,,,
Armenia,ARM,2018,,,,,80,,100,80,73,100,100,,,73,,100,80,100,40
Australia,AUS,2010,92,88,92,100,,100,,,,,,100,75,,100,,,,
Australia,AUS,2011,100,95,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2012,100,95,100,100,,100,,,,,,100,100,,93,,,,
Australia,AUS,2013,96,95,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2014,96,100,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2015,96,100,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2016,96,100,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2017,96,100,100,100,,100,,,,,,100,100,,100,,,,
Australia,AUS,2018,,,,,100,,100,100,100,20,100,,,87,,100,100,100,100
Austria,AUT,2010,92,96,78,92,,100,,,,,,83,50,,93,,,,
Austria,AUT,2011,90,95,100,100,,100,,,,,,90,75,,100,,,,
